,Unnamed: 0,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,testDate,category,brnd
0,0,GeForce RTX 3090 Ti,29094,1117,167999.2,13.85,341.0,2022,Unknown,NVIDIA
1,1,GeForce RTX 3080 Ti,26887,1031,95999.2,22.41,310.0,2021,Desktop,NVIDIA
2,2,GeForce RTX 3090,26395,999,139999.2,15.08,312.0,2020,Desktop,NVIDIA
3,3,Radeon RX 6900 XT,25458,1102,89624.8,22.72,306.0,2020,Desktop,AMD
4,4,GeForce RTX 3080,24853,1003,79920.0,24.88,293.0,2020,Desktop,NVIDIA
5,5,GeForce RTX 3070 Ti,23367,1003,59999.2,31.16,281.0,2021,Desktop,NVIDIA
6,6,Radeon RX 6800 XT,23364,1078,68720.0,27.2,288.0,2020,Desktop,AMD
7,7,RTX A5000,22867,984,210496.0,8.69,299.0,2021,Workstation,AMD
8,8,RTX A6000,22122,832,399999.2,4.42,312.0,2021,Workstation,AMD
9,9,GeForce RTX 3070,22093,969,57599.2,30.69,270.0,2020,Desktop,NVIDIA
10,10,GeForce RTX 2080 Ti,21796,940,79887.2,21.83,269.0,2018,Desktop,NVIDIA
11,11,RTX A4500,21546,892,170771.2,10.09,278.0,2022,Unknown,AMD
12,12,Radeon RX 6800,20667,1030,60719.2,27.23,266.0,2020,Desktop,AMD
13,13,GeForce RTX 3060 Ti,20206,961,47999.2,33.68,256.0,2020,Desktop,NVIDIA
14,14,TITAN RTX,20169,844,223599.2,7.22,274.0,2018,Workstation,AMD
15,15,Quadro RTX 6000,19692,837,504000.0,3.13,314.0,2018,Workstation,NVIDIA
16,16,GeForce RTX 2080 SUPER,19519,934,54719.2,28.54,251.0,2019,Desktop,NVIDIA
17,19,Quadro RTX 8000,19126,801,379319.2,4.03,288.0,2019,Workstation,NVIDIA
18,20,Radeon RX 6700 XT,18993,1014,42399.2,35.84,252.0,2021,Desktop,AMD
19,21,RTX A4000,18988,938,98718.4,15.39,255.0,2021,Workstation,AMD
20,22,TITAN V,18816,845,159999.2,9.41,256.0,2017,Desktop,AMD
