,name,formFactor,socket,chipset,ramType,ramSlots,ramFreq,maxRam,powerPin,price,link
0,MSI H510M-A PRO,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,5490,https://www.citilink.ru/product/materinskaya-plata-msi-h510m-a-pro-soc-1200-intel-h510-2xddr4-matx-ac-1564800/
1,GIGABYTE H410M H V2,mATX,LGA 1200,Intel H470,DDR4 ,2,2933,64,24+8 ,4990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h410m-h-v2-soc-1200-intel-h470-2xddr4-matx-1530431/
2,ASUS PRIME H510M-K,mATX,LGA 1200,Intel H510,DDR4 ,2,2933,64,24+8 ,6190,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h510m-k-soc-1200-intel-h510-2xddr4-matx-1498864/
3,GIGABYTE H510M H,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,5590,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h510m-h-soc-1200-intel-h510-2xddr4-matx-ac-1507912/
4,ASROCK H510M-HVS R2.0,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,5290,https://www.citilink.ru/product/materinskaya-plata-asrock-h510m-hvs-r2-0-soc-1200-intel-h510-2xddr4-ma-1598716/
5,MSI PRO H610M-E DDR4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,6190,https://www.citilink.ru/product/materinskaya-plata-msi-pro-h610m-e-ddr4-soc-1700-intel-h610-2xddr4-mat-1845409/
6,GIGABYTE B550M DS3H,mATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,8990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550m-ds3h-soc-am4-amd-b550-4xddr4-matx-ac-1407213/
7,GIGABYTE B550 GAMING X V2,ATX,AM4,AMD B550,DDR4 ,4,3200,128,24+8 ,10490,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b550-gaming-x-v2-soc-am4-amd-b550-4xddr4-a-1621477/
8,GIGABYTE H610M S2H DDR4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,7090,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h610m-s2h-ddr4-soc-1700-intel-h610-2xddr4-1670353/
9,MSI H510M PRO-E,mATX,LGA 1200,Intel H510,DDR4 ,2,3200,64,24+8 ,7350,https://www.citilink.ru/product/materinskaya-plata-msi-h510m-pro-e-soc-1200-intel-h510-2xddr4-matx-ac-1602238/
