,name,formFactor,power,fan,pin,GPUpin,price,link
0,Aerocool VX PLUS 500W,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,6+2 pin,2470,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-500w-500vt-120mm-chernyi-retail-vx-500-1049256/
1,Aerocool VX PLUS 600W,"ATX, 12V v2.3",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,2980,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-600w-600vt-120mm-chernyi-retail-vx-600-1049258/
2,Aerocool VX PLUS 650W,"ATX, 12V v2.3",650 Вт,120мм,24+4+4 pin,2х(6+2) pin,3290,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-650w-650vt-120mm-chernyi-retail-vx-650-1049259/
3,Aerocool VX PLUS 750W,"ATX, 12V v2.3",750 Вт,120мм,24+4+4 pin,2х(6+2) pin,3890,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-750w-750vt-120mm-chernyi-retail-vx-750-1049261/
4,Aerocool VX PLUS 400W,"ATX, 12V v2.3",400 Вт,120мм,24+4+4 pin,6 pin,2090,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-400w-400vt-120mm-chernyi-retail-vx-400-1049254/
5,Aerocool VX PLUS,"ATX, 12V v2.3",350 Вт,120мм,24+4+4 pin,отсутствует,1590,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-350vt-120mm-chernyi-retail-vx-350-plus-1049253/
6,Accord ACC-500W-NP,ATX,500 Вт,120мм,24+4+4 pin,6+2 pin,2650,https://www.citilink.ru/product/blok-pitaniya-accord-acc-500w-np-500vt-120mm-acc-500-np-1208698/
7,Aerocool VX PLUS 450W,"ATX, 12V v2.3",450 Вт,120мм,24+4+4 pin,6 pin,2350,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-450w-450vt-120mm-chernyi-retail-vx-450-1049255/
8,Aerocool VX PLUS 700W,"ATX, 12V v2.3",700 Вт,120мм,24+4+4 pin,2х(6+2) pin,3690,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-700w-700vt-120mm-chernyi-retail-vx-700-1049260/
9,Aerocool VX PLUS 550W,"ATX, 12V v2.3",550 Вт,120мм,24+4+4 pin,6+2 pin,2730,https://www.citilink.ru/product/blok-pitaniya-aerocool-vx-plus-550w-550vt-120mm-chernyi-retail-vx-550-1049257/
10,Accord ACC-350W-12,"ATX, 12V v2.3",350 Вт,120мм,24+4+4 pin,6 pin,1390,https://www.citilink.ru/product/blok-pitaniya-accord-acc-350w-12-350vt-120mm-acc-350-12-877950/
11,Aerocool KCAS PLUS 800,"ATX, 12V v2.4",800 Вт,120мм,24+4+4 pin,4х(6+2) pin,5460,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-800-800vt-120mm-chernyi-retail-kcas-8-1049270/
12,Aerocool KCAS PLUS 700,"ATX, 12V v2.4",700 Вт,120мм,24+4+4 pin,4х(6+2) pin,5810,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-700-700vt-120mm-chernyi-retail-kcas-7-1049265/
13,Aerocool KCAS PLUS GOLD 850W ARGB,"ATX, 12V v2.52",850 Вт,120мм,24+2x(4+4) pin,3х(6+2) pin,9070,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-gold-850w-rgb-850vt-120mm-retail-acpg-1440796/
14,Accord ACC-600W-NP,ATX,600 Вт,120мм,24+4+4 pin,6+2 pin,2990,https://www.citilink.ru/product/blok-pitaniya-accord-atx-600w-acc-600w-np-24-4-4pin-120mm-fan-4xsata-1479118/
15,Accord ACC-400W-12,ATX,400 Вт,120мм,24+4+4 pin,6 pin,1800,https://www.citilink.ru/product/blok-pitaniya-accord-acc-400w-12-400vt-120mm-acc-400-12-877951/
16,Accord ACC-450W-12,ATX,450 Вт,120мм,20+4 pin,6 pin,1980,https://www.citilink.ru/product/blok-pitaniya-accord-acc-450w-12-450vt-120mm-acc-450-12-877952/
17,Aerocool KCAS PLUS 600,"ATX, 12V v2.4",600 Вт,120мм,24+4+4 pin,4х(6+2) pin,4390,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-600-600vt-120mm-chernyi-retail-kcas-6-1049264/
18,Aerocool AERO BRONZE,"ATX, 12V v2.52",750 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,6000,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-bronze-750vt-120mm-chernyi-retail-aero-bro-1207087/
19,Aerocool ECO-500,"ATX, 12V v2.3",500 Вт,120мм,24+4 pin,1х6 pin,1990,https://www.citilink.ru/product/blok-pitaniya-aerocool-eco-500-500vt-120mm-seryi-retail-1170085/
20,Zalman ZM750-GVII,"ATX, 12V v2.3",750 Вт,120мм,24+4+4 pin,4х(6+2) pin,7070,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-750w-zm750-gvii-80-bronze-20-4pin-apfc-135mm-1774705/
21,GIGABYTE GP-UD750GM,"ATX, 12V v2.31",750 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,11170,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-750w-gp-ud750gm-80-gold-24-2x-4-4-pin-apfc-1777099/
22,Aerocool CYLON 600,"ATX, 12V v2.4",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,4990,https://www.citilink.ru/product/blok-pitaniya-aerocool-cylon-600-600vt-120mm-chernyi-retail-1111164/
23,Aerocool ECO-550,"ATX, 12V v2.3",550 Вт,120мм,24+4+4 pin,6+2 pin,2260,https://www.citilink.ru/product/blok-pitaniya-aerocool-eco-550-550vt-120mm-retail-1184523/
24,Thermaltake TR2 S,"ATX, 12V v2.3",700 Вт,120мм,24+4+4 pin,2х(6+2) pin,5520,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-700vt-120mm-chernyi-retail-ps-trs-0700-365401/
25,GIGABYTE GP-P650B,"ATX, 12V v2.31",650 Вт,120мм,24+4+4 pin,4х(6+2) pin,7010,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-650w-gp-p650b-80-bronze-24-4-4pin-apfc-120m-1422402/
26,GIGABYTE AORUS GP-AP850GM,"ATX, 12V v2.31",850 Вт,135мм,24+2x(4+4) pin,6х(6+2) pin,12870,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-750w-aorus-gp-ap850gm-80-gold-24-4-4pin-apf-1422488/
27,Thermaltake Smart RGB 700,"ATX, 12V v2.3",700 Вт,120мм,24+4+4 pin,2х(6+2) pin,5840,https://www.citilink.ru/product/blok-pitaniya-thermaltake-smart-rgb-700-700vt-120mm-chernyi-retail-ps-482448/
28,GIGABYTE GP-UD850GM,ATX,850 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,11230,https://www.citilink.ru/product/blok-pitaniya-gigabyte-atx-850w-gp-ud850gm-80-gold-24-2x-4-4-pin-apfc-1777105/
29,Aerocool CYLON 500,"ATX, 12V v2.4",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,3690,https://www.citilink.ru/product/blok-pitaniya-aerocool-cylon-500-500vt-120mm-chernyi-retail-1111163/
30,Aerocool AERO WHITE,"ATX, 12V v2.4",650 Вт,120мм,24+4+4 pin,2х(6+2) pin,5650,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-650vt-120mm-chernyi-retail-aero-whit-1207080/
31,Cooler Master MWE White V2 750W,"ATX, 12V v2.52",750 Вт,120мм,24+8+4+4 pin,4х(6+2) pin,8180,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-white-v2-750w-750vt-120mm-retail-mpe-7-1466350/
32,Zalman ZM700-LXII,"ATX, 12V v2.31",700 Вт,120мм,20+4 pin,4х(6+2) pin,5020,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-700w-zm700-lxii-24-4-4pin-apfc-120mm-fan-6xsa-1775090/
33,Cooler Master MWE White V2,"ATX, 12V v2.52",700 Вт,120мм,24+8+4+4 pin,4х(6+2) pin,7500,https://www.citilink.ru/product/blok-pitaniya-cooler-master-mwe-white-v2-700vt-120mm-retail-mpe-7001-a-1468756/
34,Aerocool KCAS PLUS 500,"ATX, 12V v2.4",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,4030,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-500-500vt-120mm-chernyi-retail-kcas-5-1049262/
35,Aerocool CYLON 700,"ATX, 12V v2.4",700 Вт,120мм,24+4+4 pin,4х(6+2) pin,4490,https://www.citilink.ru/product/blok-pitaniya-aerocool-cylon-700-700vt-120mm-chernyi-retail-1111165/
36,Aerocool AERO WHITE,"ATX, 12V v2.4",700 Вт,120мм,24+4+4 pin,4х(6+2) pin,4780,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-700vt-120mm-chernyi-retail-aero-whit-1207082/
37,DeepCool PQ850M,"ATX, 12V v2.4",850 Вт,120мм,24+2x(4+4) pin,3х(6+2) pin,11610,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-850w-pq850m-80-gold-20-4pin-apfc-120mm-fan-1781665/
38,DeepCool PQ750M,ATX,750 Вт,120мм,20+4 pin,3х(6+2) pin,10990,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-750w-pq750m-80-gold-20-4pin-apfc-140mm-fan-1781696/
