,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category
1,AMD EPYC 7763,583999.2,88338,12.1,2635,0.36,280.0,64,SP3,Server
3,AMD EPYC 7713,564800.0,85861,12.16,2727,0.39,225.0,64,SP3,Server
4,AMD Ryzen Threadripper PRO 3995WX,544638.4,83971,12.33,2626,0.39,280.0,64,sWRX8,Desktop
5,AMD Ryzen Threadripper 3990X,671975.2,81568,9.71,2569,0.31,280.0,64,sTRX4,Desktop
8,AMD EPYC 7643,433999.2,76455,14.09,2695,0.5,225.0,48,SP3,Server
9,AMD EPYC 7702,320000.0,71646,17.91,2097,0.52,200.0,64,SP3,Server
10,AMD EPYC 7662,545360.0,71576,10.5,2054,0.3,225.0,64,SP3,Server
11,AMD EPYC 7742,403679.2,68749,13.62,2145,0.43,225.0,64,SP3,Server
14,AMD EPYC 7642,294720.0,67748,18.39,2155,0.59,225.0,48,SP3,Server
15,AMD EPYC 7543P,239920.0,67144,22.39,2742,0.91,225.0,32,SP3,Server
17,AMD Ryzen Threadripper 3970X,239839.2,63835,21.29,2694,0.9,280.0,32,sTRX4,Desktop
18,AMD Ryzen Threadripper PRO 3975WX,359999.2,63495,14.11,2666,0.59,280.0,32,sWRX8,Desktop
19,Intel Xeon Platinum 8380 @ 2.30GHz,718240.0,62317,6.94,2385,0.27,270.0,40,LGA 4189,Server
20,AMD EPYC 7702P,279999.2,61689,17.63,2110,0.6,200.0,64,SP3,Server
21,AMD EPYC 74F3,399120.0,60948,12.22,2975,0.6,240.0,24,SP3,Server
22,AMD EPYC 7513,227200.0,59732,21.03,2447,0.86,200.0,32,SP3,Server
23,AMD EPYC 7443P,119999.2,57666,38.44,2965,1.98,200.0,24,SP3,Server
24,AMD EPYC 7542,143199.2,56728,31.69,2207,1.23,225.0,32,SP3,Server
25,AMD EPYC 7543,300880.0,56562,15.04,2563,0.68,240.0,32,SP3,Server
27,AMD Ryzen Threadripper 3960X,134632.0,54757,32.54,2678,1.59,280.0,24,sTRX4,Desktop
28,Intel Xeon Platinum 8358 @ 2.60GHz,407820.0,54416,10.67,2382,0.47,250.0,32,LGA 4189,Server
29,AMD EPYC 7453,143920.0,53511,29.74,2580,1.43,225.0,28,SP3,Server
30,Intel Xeon Gold 6348 @ 2.60GHz,253840.0,53112,16.74,2455,0.77,235.0,28,LGA 4189,Server
33,AMD EPYC 7402,156960.0,51368,26.18,2081,1.06,180.0,24,SP3,Server
35,AMD EPYC 7502,220000.0,49177,17.88,1843,0.67,180.0,32,SP3,Server
36,AMD EPYC 7502P,215720.8,48995,18.17,1894,0.7,180.0,32,SP3,Server
37,Intel Xeon Gold 6342 @ 2.80GHz,306072.0,48330,12.63,2453,0.64,230.0,24,LGA 4189,Server
38,AMD EPYC 7413,159839.2,46295,23.17,1983,0.99,180.0,24,SP3,Server
39,AMD Ryzen 9 5950X,51979.2,46195,71.1,3498,5.38,105.0,16,AM4,Desktop
40,AMD EPYC 73F3,479360.0,46085,7.69,2878,0.48,240.0,16,SP3,Server
41,AMD EPYC 7343,135999.2,45882,26.99,2947,1.73,190.0,16,SP3,Server
43,Intel Xeon Gold 6336Y @ 2.40GHz,308027.2,45517,11.82,2522,0.65,185.0,24,LGA 4189,Server
44,Intel Core i9-12900KS,62398.4,44243,56.72,4317,5.53,150.0,8,LGA  1700,Desktop
45,Intel Xeon Gold 6312U @ 2.40GHz,138929.6,43745,25.19,2383,1.37,185.0,24,LGA 4189,Server
46,Intel Xeon Gold 6330 @ 2.00GHz,152320.0,43056,22.61,2034,1.07,205.0,28,LGA 4189,Server
47,AMD EPYC 7601,71996.0,42244,46.94,1941,2.16,180.0,32,SP3,Server
48,AMD EPYC 7452,176797.6,41871,18.95,1689,0.76,155.0,32,SP3,Server
49,AMD EPYC 7402P,114314.4,41741,29.21,1970,1.38,180.0,24,SP3,Server
51,Intel Xeon Gold 6354 @ 3.00GHz,234610.4,41434,14.13,2406,0.82,205.0,18,LGA 4189,Server
53,Intel Core i9-12900KF,45838.4,41163,71.84,4217,7.36,241.0,8,LGA 1700,Desktop
54,Intel Core i9-12900K,47996.0,41077,68.47,4209,7.02,241.0,8,LGA 1700,Desktop
55,AMD EPYC 7F52,248000.0,40951,13.21,2446,0.79,240.0,16,SP3,Server
56,AMD EPYC 7313P,73040.0,40879,44.77,2608,2.86,155.0,16,SP3,Server
58,Intel Xeon W-3275M @ 2.50GHz,596240.0,40767,5.47,2725,0.37,205.0,28,LGA 3647,Server
59,AMD EPYC 7313,94399.2,40575,34.39,2610,2.21,155.0,16,SP3,Server
60,AMD EPYC 7352,102400.0,40472,31.62,1995,1.56,155.0,24,SP3,Server
61,AMD Ryzen Threadripper PRO 3955WX,159600.0,40225,20.16,2696,1.35,280.0,16,sWRX8,Desktop
62,Intel Xeon W-3265M @ 2.70GHz,508240.0,39620,6.24,2718,0.43,205.0,24,LGA 3647,"Desktop, Server"
63,AMD Ryzen 9 5900X,31442.4,39457,100.39,3494,8.89,105.0,12,AM4,Desktop
64,AMD Ryzen 9 3950X,52000.0,39157,60.24,2738,4.21,105.0,16,AM4,Desktop
65,Intel Xeon W-3335 @ 3.40GHz,103920.0,38944,29.98,2556,1.97,250.0,16,LGA 4189,Server
66,Intel Xeon Gold 6248R @ 3.00GHz,247600.0,38604,12.47,2296,0.74,205.0,24,LGA 3647,Server
67,Intel Core i9-12900,40720.0,38281,75.21,4162,8.18,65.0,8,LGA 1700,Desktop
70,Intel Xeon Gold 6346 @ 3.10GHz,182320.0,37606,16.5,2455,1.08,205.0,16,LGA 4189,Server
71,Intel Xeon Platinum 8280 @ 2.70GHz,709636.8,37575,4.24,2011,0.23,205.0,28,LGA 3647,Server
72,Intel Xeon Gold 6238R @ 2.20GHz,213360.0,37511,14.06,2362,0.89,165.0,28,LGA 3647,Server
73,Intel Xeon Silver 4316 @ 2.30GHz,90337.6,37264,33.0,2380,2.11,150.0,20,LGA 4189,Server
74,Intel Xeon W-3175X @ 3.10GHz,127676.8,37167,23.29,2148,1.35,255.0,28,LGA 3647,Desktop
75,Intel Core i9-12900F,42399.2,35726,67.41,4045,7.63,65.0,8,LGA 1700,Desktop
76,Intel Xeon Gold 6242R @ 3.10GHz,197771.2,35352,14.3,2426,0.98,205.0,20,LGA 3647,Server
77,Intel Xeon Gold 6326 @ 2.90GHz,128463.2,35328,22.0,2356,1.47,185.0,16,LGA 4189,Server
78,Intel Core i9-12900T,39120.0,34999,71.57,4032,8.25,35.0,8,LGA 1700,Desktop
80,Intel Core i7-12700K,32720.0,34125,83.44,4047,9.9,190.0,8,LGA 1700,Desktop
81,Intel Core i7-12700KF,28079.2,34110,97.18,4054,11.55,190.0,8,LGA 1700,Desktop
82,Intel Xeon Platinum 8260M @ 2.30GHz,616400.0,33970,4.41,2315,0.3,165.0,24,LGA 3647,Server
83,Intel Xeon D-2799 @ 2.40GHz,154640.0,33792,17.48,2404,1.24,129.0,20,BGA 2579,Server
85,Intel Core i9-10980XE @ 3.00GHz,79999.2,33408,33.41,2667,2.67,165.0,18,LGA 2066,Desktop
86,Intel Xeon Gold 5220R @ 2.20GHz,136960.0,33370,19.49,2399,1.4,150.0,24,LGA 3647,Server
87,AMD EPYC 7302,89209.6,33015,29.61,1978,1.77,155.0,16,SP3,Server
88,AMD Ryzen 9 3900XT,49501.6,32869,53.12,2786,4.5,105.0,12,AM4,Desktop
89,AMD Ryzen 9 3900X,28720.0,32751,91.23,2725,7.59,105.0,12,AM4,Desktop
90,Intel Xeon Platinum 8168 @ 2.70GHz,626320.0,32616,4.17,2138,0.27,205.0,24,LGA 3647,Server
91,AMD EPYC 7302P,165596.0,32480,15.69,1878,0.91,155.0,16,SP3,Server
92,AMD Ryzen Threadripper 2990WX,168000.0,32475,15.46,2290,1.09,250.0,32,sTR4,Desktop
93,Intel Xeon Gold 6252 @ 2.10GHz,308000.0,32410,8.42,2143,0.56,150.0,24,LGA 3647,Server
94,Intel Core i7-12700F,25036.8,32268,103.11,3987,12.74,65.0,8,LGA 1700,Desktop
95,Intel Xeon Gold 6230R @ 2.10GHz,149600.0,32223,17.23,2020,1.08,150.0,26,LGA 3647,Server
96,Intel Core i9-9980XE @ 3.00GHz,115376.8,31905,22.12,2566,1.78,165.0,18,LGA 2066,Desktop
97,Intel Xeon W-2295 @ 3.00GHz,120370.4,31680,21.06,2696,1.79,165.0,18,LGA 2066,Server
98,Intel Core i7-12700,26240.0,31659,96.52,3948,12.04,65.0,8,LGA 1700,Desktop
99,AMD EPYC 7282,57837.6,31631,43.75,1987,2.75,120.0,16,SP3,Server
102,AMD EPYC 7371,144719.2,31094,17.19,2377,1.31,,16,SP3,Server
103,AMD Ryzen 9 3900,41381.6,30660,59.27,2627,5.08,65.0,12,AM4,Desktop
104,Intel Core i9-9960X @ 3.10GHz,119916.0,30655,20.45,2631,1.76,165.0,16,LGA 2066,Desktop
106,Intel Xeon W-3245 @ 3.20GHz,214719.2,30549,11.38,2537,0.95,205.0,16,LGA 3647,Server
107,AMD Ryzen Threadripper 2970WX,53520.0,30433,45.49,2358,3.52,250.0,24,sTR4,Desktop
108,AMD EPYC 7551P,29599.2,30313,81.93,1719,4.65,180.0,32,SP3,Server
109,Intel Xeon Gold 6246R @ 3.40GHz,271182.4,30220,8.92,2321,0.68,205.0,16,LGA 3647,Server
110,Intel Core i9-12900HK,50800.0,30213,47.58,3946,6.21,45.0,6,BGA 1744,Laptop
111,Intel Core i9-9990XE @ 4.00GHz,173040.0,30162,13.94,2970,1.37,255.0,14,LGA 2066,Desktop
112,Intel Xeon W-3265 @ 2.70GHz,364109.6,30105,6.61,2572,0.57,205.0,24,LGA 3647,Server
